"accession_no","sequence_name","gene","sublineage","state","analyses"
"DQ992764","duck_Guiyang_293_2006","HA","2.3.4","CN","Geo"
"DQ992767","duck_Guiyang_497_2006","HA","2.3.4","CN","Geo"
"DQ992776","duck_Shantou_13323_2005","HA","2.3.4","CN","Geo"
"DQ992777","goose_Shantou_18442_2005","HA","2.3.4","CN","Geo"
"DQ992779","chicken_Shantou_1233_2006","HA","2.3.4","CN","Geo"
"DQ992784","goose_Shantou_3295_2006","HA","2.3.4","CN","Geo"
"DQ992785","chicken_Shantou_3840_2006","HA","2.3.4","CN","Geo"
"DQ992790","duck_Hunan_324_2006","HA","2.3.4","CN","Geo"
"DQ992792","duck_Hunan_856_2006","HA","2.3.4","CN","Geo"
"DQ992819","duck_Fujian_9651_2005","HA","2.3.4","CN","Geo"
"DQ992828","chicken_Fujian_11933_2005","HA","2.3.4","CN","Geo"
"DQ992830","chicken_Fujian_12239_2005","HA","2.3.4","CN","Geo"
"DQ992831","chicken_Fujian_584_2006","HA","2.3.4","CN","Geo"
"DQ992832","duck_Fujian_668_2006","HA","2.3.4","CN","Geo"
"DQ992838","crested_myna_Hong_Kong_540_2006","HA","2.3.4","CN","Geo"
"DQ992844","common_magpie_Hong_Kong_2256_2006","HA","2.3.4","CN","Geo"
"DQ993022","duck_Guangxi_2143_2006","HA","2.3.4","CN","Geo"
"DQ993023","duck_Guangxi_1830_2006","HA","2.3.4","CN","Geo"
"DQ993024","goose_Guangxi_1898_2006","HA","2.3.4","CN","Geo"
"DQ993025","goose_Guangxi_1633_2006","HA","2.3.4","CN","Geo"
"DQ993027","goose_Guangxi_1458_2006","HA","2.3.4","CN","Geo"
"DQ993028","duck_Guangxi_1436_2006","HA","2.3.4","CN","Geo"
"DQ993030","duck_Guangxi_1258_2006","HA","2.3.4","CN","Geo"
"DQ993031","chicken_Guangxi_1212_2006","HA","2.3.4","CN","Geo"
"DQ993117","goose_Guangxi_532_2006","HA","2.3.4","CN","Geo"
"EF670479","duck_Hunan_15_2004","HA","2.3.4","CN","Geo"
"EPI347300","duck_Vietnam_NCVD_462_2010","HA","2.3.4","SEA","Geo"
"EPI347302","duck_Vietnam_NCVD_472_2010","HA","2.3.4","SEA","Geo"
"EPI352222","Guizhou_1_2012","HA","2.3.4","CN","Geo"
"EPI353372","chicken_Bangladesh_3012_2011","HA","2.3.4","WA","Geo"
"EPI420386","Guizhou_1_2013","HA","2.3.4","CN","Geo"
"EPI431448","duck_Hebei_2_2011","HA","2.3.4","CN","Geo"
"EPI431456","duck_Hebei_3_2011","HA","2.3.4","CN","Geo"
"EPI530054","duck_Jiangxi_95_2014","HA","2.3.4","CN","Geo"
"EPI533583","Sichuan_26221_2014","HA","2.3.4","CN","Geo"
"EPI543002","duck_Beijing_FS01_2014","HA","2.3.4","CN","Geo"
"EPI543010","duck_Beijing_CT01_2014","HA","2.3.4","CN","Geo"
"EPI547673","duck_England_36254_14","HA","2.3.4","E","Geo"
"EPI550848","duck_England_36038_14","HA","2.3.4","E","Geo"
"EPI553144","turkey_Italy_14VIR7898_10_2014","HA","2.3.4","E","Geo"
"EPI553208","crane_Kagoshima_KU1_2014","HA","2.3.4","NA","Geo"
"EPI553349","wigeon_Sakha_1_2014","HA","2.3.4","NA","Geo"
"EPI555126","stork_Germany_MV_R24_2015","HA","2.3.4","E","Geo"
"EPI573163","chicken_Netherlands_14015766_2014","HA","2.3.4","E","Geo"
"EPI573179","duck_Netherlands_14015898_2014","HA","2.3.4","E","Geo"
"EPI573221","broiler_duck_Korea_H1731_2014","HA","2.3.4","NA","Geo"
"EPI573239","mallard_Korea_H1924_6_2014","HA","2.3.4","NA","Geo"
"EPI573638","crane_Kagoshima_KU13_2014_H5N8","HA","2.3.4","NA","Geo"
"EPI576384","MuteSwan_Sweden_SVA150311KU0277_SZ502_2015","HA","2.3.4","E","Geo"
"EPI580408","feline_Guangdong_1_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI580422","feline_Guangdong_2_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI586542","chicken_BC_FAV23_2014","HA","2.3.4","Am","Geo"
"EPI588960","duck_Taiwan_a043_2015","HA","2.3.4","SEA","Geo"
"EPI588976","duck_Taiwan_a068_2015","HA","2.3.4","SEA","Geo"
"EPI593036","Environment_Jiangxi_20983_2013","HA","2.3.4","CN","Geo"
"EPI595079","mallard_Korea_N15_99_2015","HA","2.3.4","NA","Geo"
"EPI645974","environment_Jiangsu_WX175_2013","HA","2.3.4","CN","Geo"
"EPI645982","chicken_Jiangsu_WXS7393_2014","HA","2.3.4","CN","Geo"
"EPI656562","goose_Jilin_04_04_SY003_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI656594","chicken_Hunan_12_07_YYGK114_P_2013_H5N6","HA","2.3.4","CN","Geo"
"EPI656602","chicken_Hunan_12_28_YYGK034_P_2013_H5N6","HA","2.3.4","CN","Geo"
"EPI656626","duck_Hunan_12_07_YYGK108_P_2013_H5N6","HA","2.3.4","CN","Geo"
"EPI656634","duck_Hunan_12_07_YYGK110_P_2013_H5N6","HA","2.3.4","CN","Geo"
"EPI656642","duck_Hunan_12_07_YYGK111_P_2013_H5N6","HA","2.3.4","CN","Geo"
"EPI656650","duck_Hunan_12_07_YYGK112_P_2013_H5N6","HA","2.3.4","CN","Geo"
"EPI656666","duck_Hunan_12_07_YYGK118_P_2013_H5N6","HA","2.3.4","CN","Geo"
"EPI656682","duck_Hunan_12_07_YYGK0043_P_2013_H5N6","HA","2.3.4","CN","Geo"
"EPI656770","duck_Hunan_01_16_YYFQH185_P_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI656786","duck_Hunan_01_16_YYGK218_P_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI656986","duck_Hunan_02_26_YYFQHY291_P_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657210","environment_JiangXi_02_10_NCNP0019_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657322","chicken_Jiangxi_04_01_NCDZT0040_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657418","duck_Sichuan_04_27_NBXJ71_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657458","duck_Hunan_12_17_YYGK079_1_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657474","environment_Jilin_04_11_CCHSL012_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657498","environment_Jilin_04_25_NA004_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657530","duck_Yunnan_03_16_DQXYL0039_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657554","chicken_Jiangxi_12_05_NCDZT0020_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657562","chicken_Jiangxi_12_05_NCDZT0021_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657578","chicken_Jiangxi_12_05_NCDZT0032_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657586","chicken_Jiangxi_12_05_NCDZT0040_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657594","chicken_Jiangxi_12_05_NCDZT007_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657626","environment_Jiangxi_02_10_NCDZT16_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657746","duck_Hunan_12_17_YYGK0056_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657762","duck_Hunan_12_17_YYGK0066_P_2014_H5N6","HA","2.3.4","CN","Geo"
"EPI657826","chicken_Jiangxi_04_01_NCJD0010_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657842","chicken_Jiangxi_04_01_NCJD0146_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657882","chicken_Jiangxi_04_01_NCDZT0192_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI657930","chicken_Jiangxi_04_01_NCDZT0279_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658047","environment_Jiangxi_05_07_NCJD0012D_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658151","Pigeon_Jiangxi_04_01_NCDZT0352_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658383","environment_Jiangxi_05_07_NCJD0078C_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658471","environment_Jiangxi_05_07_NCJD0098C_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658535","duck_Hubei_03_06_WHWTZ0129_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658551","chicken_Hubei_03_06_WHWTZ0148_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658623","duck_Hubei_03_06_WHWTZ0123_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658783","duck_Hunan_01_21_YYFQH010_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658807","duck_Hunan_02_07_YYFQHY12Y_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658823","duck_Hunan_03_09_YYFQH0047_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658863","duck_Hunan_01_21_YYFQH019_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658943","duck_Hunan_01_21_YYFQH025_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI658975","duck_Hunan_01_21_YYFQH030_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI659047","duck_Hunan_01_21_YYFQH006_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI659175","environment_Yunnan_03_16_DQXYL0027_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI662648","chicken_Miyazaki_2_4_2014","HA","2.3.4","NA","Geo"
"EPI662640","chicken_Yamaguchi_6_2014","HA","2.3.4","NA","Geo"
"EPI659959","duck_Guangdong_03_26_DGCP061_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI660063","duck_Guangdong_04_23_DGQTXC202_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI660303","goose_Guangdong_04_22_DGCP120_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI660695","duck_Guangdong_04_23_DGQTSJ131_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI660711","duck_Guangdong_04_23_DGQTXC228_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI661087","chicken_Jiangxi_01_14_NCJD181_P_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI661287","duck_Guangdong_03_27_DGQTSJ131_O_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI661415","duck_Guangdong_04_16_LGDBL004_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI661431","chicken_Guangdong_04_16_LGWL013_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI661607","duck_Guangdong_03_26_DGCP077_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI661623","duck_Guangdong_03_26_DGCP082_O_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI661663","goose_Shandong_02_26_GD_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI661719","duck_Guangdong_02_11_DGCP102_P_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI661799","environment_Guangdong_02_11_DGQTSJ046E_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI661903","chicken_Guangxi_04_10_NM140_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI661911","environment_Guangdong_04_15_SZBAXQshui2_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI661975","duck_Guangdong_04_15_SZBAXQ003_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI662031","duck_Guangdong_04_16_SZLGDBL003_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI662063","environment_Guangdong_04_16_SZLGWL006_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI662079","environment_Guangdong_04_16_SZLGWLShui1_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI664253","goose_Guangdong_04_23_DGQTXC237_O_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI664381","environment_Jiangsu_12_30_WZNHQ012_2014_Mixed","HA","2.3.4","CN","Geo"
"EPI664405","chicken_Hunan_12_07_YYGKY67_P_2013_Mixed","HA","2.3.4","CN","Geo"
"EPI664413","duck_Hunan_01_16_YYFQH128_P_2014_Mixed","HA","2.3.4","CN","Geo"
"EPI664493","duck_Jiangxi_04_01_NCDZT0304_O_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI664541","duck_Yunnan_03_16_DQXYL007_O_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI664549","duck_Hunan_03_09_YYFQH0036_P_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI664589","environment_Hunan_04_14_YYGK394_2015_Mixed","HA","2.3.4","CN","Geo"
"EPI668839","environment_Yunnan_07_11_DQXY011_2015_H5N6","HA","2.3.4","CN","Geo"
"EPI680542","Environment_Guangdong_79900_2014","HA","2.3.4","CN","Geo"
"EPI680550","Environment_Guangdong_79478_2014","HA","2.3.4","CN","Geo"
"EPI680566","Environment_Chongqing_28975_2014","HA","2.3.4","CN","Geo"
"EPI680590","Environment_Hunan_18327_2014","HA","2.3.4","CN","Geo"
"EPI680598","Environment_Zhejiang_21574_2014","HA","2.3.4","CN","Geo"
"EPI680614","Environment_Chongqing_28970_2014","HA","2.3.4","CN","Geo"
"EPI684541","Shenzhen_1_2015","HA","2.3.4","CN","Geo"
"EPI684565","Environment_Shenzhen_3_2015","HA","2.3.4","CN","Geo"
"EPI687156","great_egret_Hong_Kong_00032_2016","HA","2.3.4","CN","Geo"
"EPI687488","Duck_Guangdong_SS1A1_2014H5N6","HA","2.3.4","CN","Geo"
"EPI687498","Goose_Guangdong_JG125_2013H5N6","HA","2.3.4","CN","Geo"
"EPI687506","Duck_Guangdong_PY501_2014H5N6","HA","2.3.4","CN","Geo"
"EPI687515","Duck_Guangdong_PY503_2014H5N6","HA","2.3.4","CN","Geo"
"EPI687539","Goose_Guangdong_SSLBY_2015H5N6","HA","2.3.4","CN","Geo"
"EPI691378","Guangdong_ZQ874_2015H5N6","HA","2.3.4","CN","Geo"
"EPI693817","Shenzhen_TH003_2016_H5N6","HA","2.3.4","CN","Geo"
"EPI749417","Environment_Hunan_18459_2014","HA","2.3.4","CN","Geo"
"EPI749425","Environment_Hunan_25952_2014","HA","2.3.4","CN","Geo"
"EPI749481","Environment_Hubei_45047_2015","HA","2.3.4","CN","Geo"
"EPI749505","Environment_Qinghai_39266_2015","HA","2.3.4","CN","Geo"
"EPI749521","Environment_Guangxi_46690_2015","HA","2.3.4","CN","Geo"
"EPI749553","Environment_Chongqing_45373_2015","HA","2.3.4","CN","Geo"
"EPI749561","Environment_Chongqing_45349_2015","HA","2.3.4","CN","Geo"
"EPI749601","Environment_Chongqing_45155_2015","HA","2.3.4","CN","Geo"
"EPI749609","Environment_Chongqing_45114_2015","HA","2.3.4","CN","Geo"
"EPI749617","Environment_Chongqing_45134_2015","HA","2.3.4","CN","Geo"
"EPI749625","Environment_Hubei_45035_2015","HA","2.3.4","CN","Geo"
"EPI749641","Environment_Guangxi_44389_2015","HA","2.3.4","CN","Geo"
"EPI749649","Environment_Chongqing_99173_2014","HA","2.3.4","CN","Geo"
"EPI749657","Environment_Guangxi_42586_2015","HA","2.3.4","CN","Geo"
"EPI749665","Environment_Anhui_72105_2014","HA","2.3.4","CN","Geo"
"EPI749673","Environment_Chongqing_77193_2014","HA","2.3.4","CN","Geo"
"EPI749681","Environment_Guangdong_77245_2014","HA","2.3.4","CN","Geo"
"EPI749721","Environment_Guangdong_40113_2015","HA","2.3.4","CN","Geo"
"EPI749729","Environment_Chongqing_72096_2014","HA","2.3.4","CN","Geo"
"EPI749737","Environment_Yunnan_39607_2015","HA","2.3.4","CN","Geo"
"EPI749745","Environment_Hubei_38005_2014","HA","2.3.4","CN","Geo"
"EPI749753","Environment_Hubei_37983_2014","HA","2.3.4","CN","Geo"
"EPI749761","Environment_Guangdong_33311_2015","HA","2.3.4","CN","Geo"
"EPI749769","Environment_Guangdong_21131_2015","HA","2.3.4","CN","Geo"
"EPI749777","Environment_Guangdong_21109_2015","HA","2.3.4","CN","Geo"
"EPI749793","Environment_Hunan_07681_2015","HA","2.3.4","CN","Geo"
"EPI749809","Environment_Chongqing_99178_2014","HA","2.3.4","CN","Geo"
"EPI749857","Environment_Hunan_98885_2014","HA","2.3.4","CN","Geo"
"EPI749889","Environment_Jiangsu_98335_2014","HA","2.3.4","CN","Geo"
"EPI750009","Environment_Hunan_72935_2014","HA","2.3.4","CN","Geo"
"EPI759966","duck_Guangdong_01_01_SZSGXJK001_Y_2016","HA","2.3.4","CN","Geo"
"EPI759991","duck_Guangdong_01_01_SZSGXJK002_G_2016","HA","2.3.4","CN","Geo"
"EPI773757","great_crested_grebe_Uvs_Nuur_Lake_341_2016","HA","2.3.4","NA","Geo"
"EPI774113","Bar_headed_Goose_Qinghai_BTY1_B_2016","HA","2.3.4","CN","Geo"
"EPI160380","duck_Vietnam_NCVD_48_07","HA","2.3.4","SEA","Geo"
"EPI160404","duck_Vietnam_NCVD_53_07","HA","2.3.4","SEA","Geo"
"EPI160420","duck_Vietnam_NCVD_55_07","HA","2.3.4","SEA","Geo"
"EPI160428","duck_Vietnam_NCVD_56_07","HA","2.3.4","SEA","Geo"
"EPI160468","duck_Vietnam_NCVD_61_07","HA","2.3.4","SEA","Geo"
"EPI160492","duck_Vietnam_NCVD_64_07","HA","2.3.4","SEA","Geo"
"EPI164207","duck_Vietnam_NCVD_82_07","HA","2.3.4","SEA","Geo"
"EPI823460","great_crested_grebe_Tyva_34_2016","HA","2.3.4","NA","Geo"
"EPI837542","mallard_Korea_H2102_2015","HA","2.3.4","NA","Geo"
"EPI858836","duck_India_10CA01_2016","HA","2.3.4","WA","Geo"
"EPI858844","painted_stork_India_10CA03_2016","HA","2.3.4","WA","Geo"
"EPI859650","wild_duck_Germany_BW_R8455_2016","HA","2.3.4","E","Geo"
"EPI861585","environment_Kagoshima_KU_ngr_I_2016_H5N6","HA","2.3.4","NA","Geo"
"EPI866077","chicken_Korea_H23_2016_H5N6","HA","2.3.4","NA","Geo"
"EPI866708","duck_Hyogo_1_2016","HA","2.3.4","NA","Geo"
"EPI867009","chicken_Niigata_2_7T_2016","HA","2.3.4","NA","Geo"
"EPI868848","turkey_England_052131_2016","HA","2.3.4","E","Geo"
"EPI868854","Common_coot_Egypt_CA285_2016","HA","2.3.4","WA","Geo"
"EPI869687","decoy_duck_France_161104e_2016","HA","2.3.4","E","Geo"
"EPI869924","domestic_goose_Poland_33_2016","HA","2.3.4","E","Geo"
"EPI869936","chicken_Kalmykia_2661_2016","HA","2.3.4","NA","Geo"
"EPI872971","chicken_Niigata_1_1T_2016","HA","2.3.4","NA","Geo"
"EPI873319","mute_swan_Kyoto_8T_2016","HA","2.3.4","NA","Geo"
"EPI873359","chicken_Miyazaki_1_4C_2016","HA","2.3.4","NA","Geo"
"EPI873669","Guangxi_55726_2016","HA","2.3.4","CN","Geo"
"EPI876474","turkey_Germany_NI_R10523_2016","HA","2.3.4","E","Geo"
"EPI881292","domestic_duck_Germany_MV_R9869_2016","HA","2.3.4","E","Geo"
"EPI891674","mute_swan_Croatia_42_2017","HA","2.3.4","E","Geo"
"EPI164173","muscovy_duck_Vietnam_NCVD_51_2007","HA","2.3.4","SEA","Geo"
"EPI164205","muscovy_duck_Vietnam_NCVD_69_2007","HA","2.3.4","SEA","Geo"
"EPI909444","mute_swan_Krasnodar_25_2017","HA","2.3.4","NA","Geo"
"EPI909452","wild_duck_Tatarstan_3059_2016","HA","2.3.4","NA","Geo"
"EPI915870","duck_Taiwan_1702004_2017","HA","2.3.4","SEA","Geo"
"EPI916604","bronze_turkey_Czech_Republic_1414_17_2017_H5N8","HA","2.3.4","E","Geo"
"EPI931207","turkey_Germany_BB_R234ff_2017","HA","2.3.4","E","Geo"
"EPI925956","gadwall_Chany_97_2016","HA","2.3.4","NA","Geo"
"EPI942943","chicken_Wales_000023_2016","HA","2.3.4","E","Geo"
"EPI952639","chicken_Korea_H903_2017","HA","2.3.4","NA","Geo"
"EPI954567","turkey_Italy_17VIR538_1_2017","HA","2.3.4","E","Geo"
"EPI954575","turkey_Italy_17VIR576_11_2017","HA","2.3.4","E","Geo"
"EPI954861","Mallard_Hungary_1574b_2017","HA","2.3.4","E","Geo"
"EPI956354","chicken_Hunan_HN303_2015","HA","2.3.4","CN","Geo"
"EPI956496","chicken_Hunan_HN40_2015","HA","2.3.4","CN","Geo"
"EPI956680","duck_Hunan_193_2014","HA","2.3.4","CN","Geo"
"EPI956990","duck_Hunan_HN16_2015","HA","2.3.4","CN","Geo"
"EPI957824","duck_Hunan_HN214_2015","HA","2.3.4","CN","Geo"
"EPI957983","duck_Hunan_HN241_2015","HA","2.3.4","CN","Geo"
"EPI958040","duck_Hunan_HN288_2015","HA","2.3.4","CN","Geo"
"EPI958136","duck_Hunan_HN53_2015","HA","2.3.4","CN","Geo"
"EPI958559","environment_Hunan_HN261_2015","HA","2.3.4","CN","Geo"
"EPI958567","goose_Anhui_AH350_2015","HA","2.3.4","CN","Geo"
"EPI958591","goose_Hunan_107_2014","HA","2.3.4","CN","Geo"
"EPI958599","goose_Hunan_109_2014","HA","2.3.4","CN","Geo"
"EPI958640","goose_Hunan_155_2014","HA","2.3.4","CN","Geo"
"EPI958648","goose_Hunan_159_2014","HA","2.3.4","CN","Geo"
"EPI958680","goose_Hunan_82_2014","HA","2.3.4","CN","Geo"
"EPI958696","goose_Hunan_HN22_2015","HA","2.3.4","CN","Geo"
"EPI958800","goose_SiChuan_15_2015","HA","2.3.4","CN","Geo"
"EPI958808","muscovy_duck_Hunan_101_2014","HA","2.3.4","CN","Geo"
"EPI958866","muscovy_duck_Hunan_148_2014","HA","2.3.4","CN","Geo"
